                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1566,                 5.6134,                 4.0237,                      0,                      0,                      0,                      0,                 5.3936,                 5.9859,                 4.1781,             0.00019342,             0.00019342,             0.00019342
                      2,                 3.0949,                  3.877,                 3.0028,                0.05804,                0.92951,                0.20599,                0.09516,                 1.8965,                 3.5557,                 2.3771,             0.00038171,             0.00038171,             0.00038171
                      3,                 2.3337,                 3.0284,                 2.2699,                0.22063,                0.50782,                0.29268,                0.13551,                 1.9878,                 3.5709,                  2.154,             0.00056224,             0.00056224,             0.00056224
                      4,                 2.1363,                 2.6465,                 2.0522,                 0.2817,                0.62817,                0.41583,                0.19458,                  1.538,                 2.6964,                 1.8496,             0.00055307,             0.00055307,             0.00055307
                      5,                 1.9192,                 2.3483,                 1.8241,                0.44535,                0.48263,                0.48685,                0.20609,                 1.9755,                 2.5638,                 2.0261,             0.00055307,             0.00055307,             0.00055307
                      6,                 1.7619,                 2.0226,                 1.7006,                0.46917,                 0.6233,                0.58334,                0.36278,                 1.3397,                 2.2444,                  1.588,             0.00054143,             0.00054143,             0.00054143
                      7,                 1.7051,                 1.8736,                 1.6519,                0.56746,                0.71154,                0.63309,                0.41525,                 1.2106,                 1.9606,                 1.5115,             0.00052979,             0.00052979,             0.00052979
                      8,                 1.6352,                 1.7397,                 1.5677,                0.62112,                 0.6445,                0.72646,                0.43845,                 1.3484,                 1.8367,                 1.5611,             0.00051815,             0.00051815,             0.00051815
                      9,                 1.5715,                 1.6091,                 1.5199,                0.66279,                0.72039,                0.70119,                0.41446,                 1.4107,                 1.6951,                  1.539,              0.0005065,              0.0005065,              0.0005065
                     10,                 1.5426,                 1.5476,                 1.5037,                0.57772,                0.71377,                0.71215,                0.48189,                 1.1965,                 1.6308,                 1.4279,             0.00049486,             0.00049486,             0.00049486
                     11,                 1.4973,                 1.4494,                 1.4643,                0.43083,                 0.6994,                0.61934,                0.35769,                  1.434,                 1.8179,                   1.52,             0.00048322,             0.00048322,             0.00048322
                     12,                 1.4806,                 1.4689,                 1.4608,                0.75211,                0.74862,                0.81138,                0.56781,                 1.1602,                 1.1579,                 1.3787,             0.00047158,             0.00047158,             0.00047158
                     13,                 1.4385,                 1.3436,                 1.4318,                0.75678,                0.86636,                0.86562,                0.59691,                 1.1477,                 1.0858,                 1.3703,             0.00045993,             0.00045993,             0.00045993
                     14,                 1.4036,                 1.2856,                 1.4032,                0.71642,                0.71005,                0.78652,                0.55769,                 1.0676,                 1.0357,                 1.3215,             0.00044829,             0.00044829,             0.00044829
                     15,                 1.3432,                 1.2054,                 1.3558,                0.83827,                0.87485,                0.91785,                0.66559,                 1.0153,                0.87972,                 1.2899,             0.00043665,             0.00043665,             0.00043665
                     16,                 1.3398,                 1.1731,                 1.3422,                0.84756,                0.84186,                0.91199,                0.67855,                0.97901,                0.95757,                 1.2684,             0.00042501,             0.00042501,             0.00042501
                     17,                 1.3455,                 1.1662,                 1.3657,                0.93352,                0.80618,                0.93605,                0.67119,                 1.0613,                0.83689,                 1.3085,             0.00041336,             0.00041336,             0.00041336
                     18,                  1.327,                 1.1226,                 1.3362,                0.86617,                0.88321,                0.92464,                0.66877,                 1.0422,                0.82576,                 1.2746,             0.00040172,             0.00040172,             0.00040172
