                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3866,                 5.2589,                 4.1327,                      0,                      0,                      0,                      0,                 5.4384,                 5.0395,                 4.1513,             0.00019084,             0.00019084,             0.00019084
                      2,                 4.2095,                    4.3,                 3.6624,                      0,                      0,                      0,                      0,                 5.4845,                 5.0573,                  4.183,             0.00038646,             0.00038646,             0.00038646
                      3,                 2.8863,                 3.3225,                 2.9254,                      0,                      0,                      0,                      0,                 5.5472,                 5.1552,                  4.271,             0.00058169,             0.00058169,             0.00058169
                      4,                 2.5316,                 2.9139,                 2.4738,                0.05186,                0.56222,                 0.1217,                0.04957,                 2.6825,                 3.2793,                 2.6724,             0.00058625,             0.00058625,             0.00058625
                      5,                 2.2593,                 2.5292,                 2.2428,                0.15779,                0.68292,                 0.2637,                0.12538,                 1.9392,                 2.6912,                 2.1898,             0.00058625,             0.00058625,             0.00058625
                      6,                 2.0586,                 2.3281,                 2.0567,                0.27478,                0.52139,                0.35648,                0.20646,                 1.6055,                 2.0532,                 1.9016,             0.00058567,             0.00058567,             0.00058567
                      7,                  1.961,                 2.1824,                 1.9476,                0.22483,                0.64131,                0.38837,                0.23567,                 1.4376,                 1.9296,                 1.8035,             0.00058509,             0.00058509,             0.00058509
                      8,                 1.8337,                 2.0422,                 1.8584,                0.42746,                0.62047,                0.50387,                0.30924,                 1.3489,                 1.8595,                 1.7128,             0.00058451,             0.00058451,             0.00058451
                      9,                 1.8165,                 1.9198,                 1.7875,                0.38781,                0.54423,                 0.5111,                0.31194,                 1.3627,                 1.7825,                 1.6719,             0.00058393,             0.00058393,             0.00058393
                     10,                 1.7367,                  1.796,                 1.6925,                0.47888,                0.52184,                0.60628,                 0.3495,                  1.395,                 1.7362,                 1.6625,             0.00058334,             0.00058334,             0.00058334
                     11,                 1.6559,                   1.68,                 1.6692,                0.38999,                0.80025,                0.61675,                0.41316,                 1.2162,                 1.4576,                  1.489,             0.00058276,             0.00058276,             0.00058276
                     12,                   1.62,                  1.615,                 1.6012,                0.61054,                0.68632,                0.71931,                0.32868,                 1.6829,                 1.5666,                 1.7186,             0.00058218,             0.00058218,             0.00058218
                     13,                 1.6175,                 1.5918,                 1.5781,                0.54096,                0.72898,                0.73659,                0.47021,                 1.2625,                 1.3379,                 1.4798,              0.0005816,              0.0005816,              0.0005816
                     14,                 1.5618,                 1.4502,                 1.5477,                 0.7455,                0.77112,                0.80967,                0.53847,                 1.1765,                 1.1605,                 1.4376,             0.00058101,             0.00058101,             0.00058101
                     15,                 1.5068,                 1.3787,                 1.4992,                0.68241,                0.76338,                0.81349,                0.55753,                 1.1173,                 1.1395,                  1.361,             0.00058043,             0.00058043,             0.00058043
                     16,                 1.4474,                 1.2981,                 1.4669,                0.68782,                 0.7836,                0.80222,                0.56076,                 1.1498,                 1.0746,                  1.422,             0.00057985,             0.00057985,             0.00057985
                     17,                 1.4326,                 1.2494,                  1.437,                 0.7138,                0.75071,                0.82421,                0.59021,                 1.0459,                 1.0751,                 1.3291,             0.00057927,             0.00057927,             0.00057927
                     18,                 1.3927,                 1.2323,                 1.3944,                0.73681,                0.77425,                0.85697,                0.57355,                 1.1741,                0.96184,                 1.3719,             0.00057869,             0.00057869,             0.00057869
                     19,                 1.3998,                 1.2018,                 1.4149,                0.76284,                0.84747,                0.88475,                0.62348,                 1.0764,                0.91642,                 1.3195,              0.0005781,              0.0005781,              0.0005781
                     20,                 1.3662,                 1.1576,                 1.3887,                0.87519,                0.80356,                0.88337,                0.63592,                  1.027,                0.90519,                 1.2951,             0.00057752,             0.00057752,             0.00057752
                     21,                 1.3486,                 1.1309,                 1.3599,                0.78486,                0.83805,                0.90057,                0.63959,                 1.0356,                0.83136,                 1.3002,             0.00057694,             0.00057694,             0.00057694
                     22,                 1.3204,                 1.0938,                 1.3438,                0.80942,                0.86976,                0.90639,                0.63487,                 1.0371,                0.86535,                 1.2928,             0.00057636,             0.00057636,             0.00057636
                     23,                 1.3131,                 1.0661,                 1.3406,                0.66054,                0.76911,                0.79998,                0.55858,                 1.1104,                 1.0289,                 1.3013,             0.00057578,             0.00057578,             0.00057578
                     24,                 1.3148,                 1.0357,                 1.3536,                0.85545,                 0.8183,                0.91279,                0.67167,                0.97993,                0.78053,                 1.2376,             0.00057519,             0.00057519,             0.00057519
                     25,                 1.3042,                 1.0232,                 1.3438,                0.84733,                0.82878,                0.89991,                0.65012,                 1.0561,                0.80001,                 1.2833,             0.00057461,             0.00057461,             0.00057461
