                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2213,                0.93029,                 1.2833,                0.86062,                0.91394,                0.95009,                0.71688,                0.93282,                0.65895,                 1.2121,              0.0002038,              0.0002038,              0.0002038
                     36,                 1.2131,                0.94494,                 1.2892,                0.94079,                0.89294,                0.95718,                0.72523,                0.92705,                0.65659,                 1.2119,             0.00019216,             0.00019216,             0.00019216
                     37,                 1.2072,                0.91413,                 1.2805,                0.93761,                0.94795,                0.96326,                0.71838,                0.96681,                0.63602,                 1.2133,             0.00018052,             0.00018052,             0.00018052
                     38,                 1.1849,                0.89072,                 1.2631,                0.90823,                0.94064,                0.96408,                 0.7319,                0.92421,                0.62305,                 1.1933,             0.00016887,             0.00016887,             0.00016887
                     39,                 1.2071,                0.91512,                 1.2884,                0.93183,                0.94474,                0.95977,                0.72148,                0.93395,                0.62871,                 1.2037,             0.00015723,             0.00015723,             0.00015723
                     40,                 1.1746,                 0.8706,                  1.262,                0.93772,                0.96014,                0.96677,                0.72542,                0.95929,                0.60577,                 1.2195,             0.00014559,             0.00014559,             0.00014559
                     41,                 1.1491,                 0.8718,                 1.3262,                0.93971,                0.93148,                0.96253,                0.72316,                0.93321,                 0.6287,                 1.1868,             0.00013395,             0.00013395,             0.00013395
                     42,                 1.1133,                0.81355,                 1.3052,                0.94159,                0.93629,                0.96858,                0.73672,                0.90618,                 0.5983,                 1.1784,              0.0001223,              0.0001223,              0.0001223
                     43,                 1.0879,                  0.794,                 1.3029,                 0.9314,                0.92939,                0.96469,                0.73428,                0.91012,                0.60598,                 1.1755,             0.00011066,             0.00011066,             0.00011066
                     44,                 1.0779,                0.78712,                 1.2818,                  0.941,                0.94323,                0.97322,                0.73952,                0.91557,                0.58288,                 1.1804,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     45,                 1.0852,                 0.7873,                 1.2975,                0.92733,                0.93764,                0.96888,                  0.743,                0.90783,                0.59358,                 1.1739,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     46,                 1.0927,                0.79036,                 1.3036,                0.93834,                0.95381,                0.97365,                 0.7412,                0.91538,                0.58254,                 1.1657,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     47,                 1.0597,                0.76506,                 1.2718,                0.94827,                0.94456,                0.97555,                   0.73,                0.93793,                0.58481,                 1.1845,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     48,                 1.0594,                0.77057,                 1.2638,                0.94908,                0.94838,                0.97392,                0.74618,                0.89587,                0.57686,                 1.1665,              5.245e-05,              5.245e-05,              5.245e-05
                     49,                 1.0482,                0.75978,                 1.2885,                0.95984,                0.93447,                0.97522,                0.74874,                0.88968,                0.57446,                 1.1542,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     50,                 1.0387,                0.74142,                 1.2443,                0.94877,                0.95379,                0.97538,                 0.7531,                0.88213,                0.56294,                 1.1551,             2.9165e-05,             2.9165e-05,             2.9165e-05
