                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3866,                 5.2589,                 4.1327,                      0,                      0,                      0,                      0,                 5.4384,                 5.0395,                 4.1513,             0.00019084,             0.00019084,             0.00019084
                      2,                 4.2119,                 4.3026,                 3.6612,                      0,                      0,                      0,                      0,                 5.4839,                 5.0563,                 4.1816,              0.0003862,              0.0003862,              0.0003862
                      3,                 2.8805,                 3.3202,                 2.9276,                      0,                      0,                      0,                      0,                 5.5608,                  5.162,                 4.2871,             0.00058092,             0.00058092,             0.00058092
                      4,                 2.4613,                 2.8078,                 2.4461,                0.32383,                0.15045,                0.09415,                0.03893,                 3.3994,                 3.5278,                 3.0209,             0.00058509,             0.00058509,             0.00058509
                      5,                  2.179,                  2.421,                  2.207,                 0.2273,                0.67563,                0.31457,                0.14152,                 2.0034,                 2.5606,                 2.1809,             0.00058509,             0.00058509,             0.00058509
                      6,                 1.9947,                 2.2511,                 2.0127,                0.26865,                0.72566,                0.40463,                0.24712,                 1.4464,                 2.0745,                 1.8044,             0.00058412,             0.00058412,             0.00058412
                      7,                 1.9267,                 2.1171,                  1.918,                0.33898,                0.36494,                 0.4081,                0.22472,                 1.5807,                  2.008,                 1.8887,             0.00058315,             0.00058315,             0.00058315
                      8,                  1.819,                 1.9538,                 1.8337,                0.43994,                0.64945,                0.57653,                0.33017,                 1.4228,                 1.7662,                 1.7081,             0.00058218,             0.00058218,             0.00058218
                      9,                 1.7646,                 1.8603,                 1.7472,                0.45023,                0.70669,                0.63629,                0.36731,                 1.4829,                 1.6548,                 1.6914,             0.00058121,             0.00058121,             0.00058121
                     10,                 1.6956,                 1.7444,                 1.6683,                0.36383,                0.64311,                0.60249,                0.36154,                 1.3723,                 1.7199,                 1.6129,             0.00058024,             0.00058024,             0.00058024
                     11,                 1.6391,                 1.6459,                  1.654,                0.48162,                0.72285,                0.63446,                   0.42,                 1.2502,                 1.5691,                 1.5108,             0.00057927,             0.00057927,             0.00057927
                     12,                 1.6145,                 1.5923,                 1.5972,                0.56528,                  0.803,                0.77234,                0.41057,                 1.4272,                 1.2842,                 1.5615,              0.0005783,              0.0005783,              0.0005783
                     13,                 1.6191,                 1.5463,                 1.5779,                0.65849,                0.73693,                0.75706,                0.48274,                 1.2346,                 1.2015,                 1.4602,             0.00057733,             0.00057733,             0.00057733
                     14,                   1.56,                 1.4419,                  1.541,                0.54794,                0.65455,                0.71716,                 0.4745,                 1.2159,                  1.424,                 1.4678,             0.00057636,             0.00057636,             0.00057636
                     15,                  1.517,                  1.383,                 1.5032,                  0.709,                0.82525,                  0.832,                 0.5766,                 1.0994,                 1.1282,                 1.3765,             0.00057539,             0.00057539,             0.00057539
                     16,                 1.4532,                 1.3103,                 1.4719,                0.69306,                0.75696,                0.82053,                0.55955,                 1.1604,                 1.0993,                 1.4184,             0.00057442,             0.00057442,             0.00057442
                     17,                 1.4338,                 1.2687,                 1.4377,                0.71071,                0.80444,                0.85565,                0.60209,                 1.0637,                 1.1317,                 1.3465,             0.00057345,             0.00057345,             0.00057345
                     18,                 1.3931,                 1.2362,                 1.3942,                0.71206,                 0.7993,                0.83744,                0.53442,                 1.2276,                 1.0277,                 1.3989,             0.00057248,             0.00057248,             0.00057248
                     19,                 1.3971,                 1.2091,                 1.4151,                 0.7646,                 0.7949,                0.85238,                0.58715,                  1.127,                0.96789,                 1.3574,             0.00057151,             0.00057151,             0.00057151
                     20,                 1.3641,                 1.1581,                 1.3869,                0.83787,                0.85616,                0.90922,                0.64847,                 1.0461,                0.83403,                 1.2972,             0.00057054,             0.00057054,             0.00057054
                     21,                 1.3401,                 1.1314,                 1.3546,                0.80452,                 0.8194,                0.89331,                0.65091,                 1.0154,                0.83818,                 1.3073,             0.00056957,             0.00056957,             0.00056957
                     22,                 1.3602,                 1.1178,                 1.3616,                0.78363,                0.90048,                0.89328,                 0.6244,                  1.092,                0.90539,                 1.3194,              0.0005686,              0.0005686,              0.0005686
                     23,                 1.2981,                 1.0684,                 1.3335,                0.71273,                0.87062,                0.88677,                0.65471,                0.99907,                0.99114,                 1.2736,             0.00056763,             0.00056763,             0.00056763
                     24,                 1.2992,                 1.0377,                 1.3451,                0.89541,                0.83125,                0.91609,                0.66715,                 1.0279,                0.79626,                 1.2801,             0.00056666,             0.00056666,             0.00056666
                     25,                 1.3081,                 1.0307,                 1.3432,                0.85217,                0.85043,                0.91397,                0.66725,                0.97284,                0.79012,                 1.2503,             0.00056569,             0.00056569,             0.00056569
                     26,                 1.2711,                 1.0025,                 1.3162,                0.91988,                0.88245,                0.95933,                0.70879,                0.98868,                0.70728,                 1.2408,             0.00056472,             0.00056472,             0.00056472
                     27,                 1.3198,                0.99666,                 1.3472,                0.83455,                0.88836,                0.94458,                0.66082,                 1.1145,                0.83862,                  1.293,             0.00056374,             0.00056374,             0.00056374
                     28,                 1.2935,                0.99497,                 1.3103,                0.87194,                0.90055,                0.95677,                0.71511,                0.96211,                 0.6811,                 1.2363,             0.00056277,             0.00056277,             0.00056277
                     29,                 1.2923,                 0.9699,                 1.3084,                0.91289,                0.92056,                 0.9568,                0.69206,                 1.0328,                0.70987,                  1.255,              0.0005618,              0.0005618,              0.0005618
                     30,                  1.219,                0.91811,                 1.2683,                0.88571,                0.89306,                0.95352,                0.68121,                 1.0804,                0.70211,                 1.2532,             0.00056083,             0.00056083,             0.00056083
                     31,                 1.2155,                0.90204,                   1.29,                0.91556,                0.93169,                0.95822,                0.72065,                0.94313,                0.64359,                 1.2079,             0.00055986,             0.00055986,             0.00055986
                     32,                 1.2454,                0.91358,                 1.2744,                0.94198,                0.93102,                0.96358,                0.72298,                0.94408,                0.64248,                 1.2117,             0.00055889,             0.00055889,             0.00055889
                     33,                 1.2283,                0.90209,                  1.281,                0.94391,                0.92617,                0.96835,                0.71143,                0.95854,                0.63129,                 1.2279,             0.00055792,             0.00055792,             0.00055792
                     34,                 1.2003,                0.87092,                 1.2728,                0.89941,                0.90872,                0.95897,                0.71116,                0.96029,                0.63788,                 1.2163,             0.00055695,             0.00055695,             0.00055695
                     35,                 1.1683,                0.84753,                 1.2371,                 0.9484,                0.95498,                0.97591,                0.72741,                0.93938,                0.60388,                  1.192,             0.00055598,             0.00055598,             0.00055598
                     36,                 1.1989,                 0.8658,                 1.2621,                0.90036,                0.94659,                0.97161,                0.73307,                0.93506,                0.61403,                 1.1943,             0.00055501,             0.00055501,             0.00055501
                     37,                 1.2075,                0.85913,                 1.2586,                0.93419,                0.94801,                0.97929,                0.73995,                0.95078,                0.59344,                 1.1736,             0.00055404,             0.00055404,             0.00055404
                     38,                 1.1593,                0.81699,                 1.2272,                  0.938,                0.94649,                0.97825,                 0.7392,                0.93227,                0.59566,                  1.185,             0.00055307,             0.00055307,             0.00055307
                     39,                 1.1575,                0.82512,                 1.2398,                0.94138,                0.94783,                0.97454,                0.72309,                0.99307,                0.57945,                 1.1971,              0.0005521,              0.0005521,              0.0005521
                     40,                 1.1354,                0.79017,                 1.2176,                0.95291,                0.96978,                0.97672,                0.71095,                 1.0086,                0.57014,                 1.2124,             0.00055113,             0.00055113,             0.00055113
                     41,                  1.142,                0.80614,                 1.2257,                0.95279,                0.94432,                0.97782,                0.74253,                0.91282,                0.60314,                  1.174,             0.00055016,             0.00055016,             0.00055016
                     42,                 1.1424,                0.80075,                 1.2318,                0.95878,                0.96543,                0.98146,                 0.7389,                0.93279,                0.55397,                 1.1754,             0.00054919,             0.00054919,             0.00054919
                     43,                 1.1085,                0.77452,                  1.208,                0.92753,                0.96213,                0.97896,                0.75456,                0.91584,                0.55334,                 1.1653,             0.00054822,             0.00054822,             0.00054822
                     44,                  1.132,                 0.7776,                 1.2159,                0.92995,                0.95995,                0.97903,                0.74964,                0.91021,                0.54991,                 1.1541,             0.00054725,             0.00054725,             0.00054725
                     45,                 1.1278,                0.77666,                 1.1946,                0.91701,                0.95524,                0.97797,                0.73219,                0.98208,                 0.5842,                 1.1807,             0.00054628,             0.00054628,             0.00054628
