                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3866,                 5.2589,                 4.1327,                      0,                      0,                      0,                      0,                 5.4384,                 5.0395,                 4.1513,             0.00019084,             0.00019084,             0.00019084
                      2,                 4.2074,                 4.3023,                 3.6634,                      0,                      0,                      0,                      0,                 5.4836,                 5.0567,                 4.1805,             0.00038557,             0.00038557,             0.00038557
                      3,                 2.8703,                 3.3124,                 2.9202,                      0,                      0,                      0,                      0,                 5.5483,                 5.1622,                 4.2699,               0.000579,               0.000579,               0.000579
                      4,                 2.4423,                 2.8204,                 2.4213,                0.40379,                0.26327,                0.11981,                0.04293,                 2.8652,                 3.3269,                 2.7608,             0.00058218,             0.00058218,             0.00058218
                      5,                 2.2092,                 2.4769,                 2.2108,                 0.1623,                0.74206,                0.30815,                 0.1717,                 1.6602,                 2.4162,                 2.0136,             0.00058218,             0.00058218,             0.00058218
                      6,                 2.0179,                 2.2962,                 2.0292,                0.35165,                0.58205,                 0.3715,                0.22975,                 1.4505,                 1.9035,                 1.8385,             0.00058024,             0.00058024,             0.00058024
                      7,                 1.9399,                 2.1446,                 1.9262,                0.30633,                0.66745,                0.42144,                0.26256,                 1.4223,                 1.8965,                 1.7669,              0.0005783,              0.0005783,              0.0005783
                      8,                 1.8105,                 1.9942,                 1.8363,                0.43213,                0.59755,                0.52634,                0.33122,                 1.3194,                  1.805,                 1.6757,             0.00057636,             0.00057636,             0.00057636
                      9,                 1.7907,                 1.9015,                 1.7677,                0.50648,                0.43328,                0.56221,                0.34402,                 1.3548,                 1.8842,                  1.652,             0.00057442,             0.00057442,             0.00057442
                     10,                 1.7121,                 1.7729,                 1.6805,                0.40083,                0.47683,                0.56645,                0.31007,                 1.5221,                 1.8208,                 1.7491,             0.00057248,             0.00057248,             0.00057248
                     11,                 1.6488,                 1.7059,                 1.6634,                0.45625,                0.79423,                0.69932,                0.47023,                 1.1752,                 1.3949,                 1.4786,             0.00057054,             0.00057054,             0.00057054
                     12,                 1.6088,                 1.6348,                 1.5985,                0.59695,                0.75011,                0.77248,                0.43748,                 1.3751,                 1.3656,                 1.5484,              0.0005686,              0.0005686,              0.0005686
                     13,                 1.6047,                 1.5713,                 1.5761,                0.70185,                0.66277,                0.75415,                0.49215,                 1.2356,                 1.2672,                 1.4747,             0.00056666,             0.00056666,             0.00056666
                     14,                 1.5384,                 1.4433,                 1.5326,                0.71451,                0.74634,                0.79523,                0.53927,                 1.1517,                 1.2115,                 1.4094,             0.00056472,             0.00056472,             0.00056472
                     15,                 1.4995,                 1.3892,                 1.4954,                0.58214,                0.75831,                0.75751,                0.52464,                 1.0846,                 1.2615,                 1.3645,             0.00056277,             0.00056277,             0.00056277
                     16,                  1.441,                 1.3198,                  1.462,                0.67925,                0.74444,                0.79231,                0.52529,                 1.1929,                 1.1822,                  1.439,             0.00056083,             0.00056083,             0.00056083
                     17,                 1.4377,                  1.284,                 1.4388,                0.72253,                 0.7847,                0.86023,                0.59936,                 1.0815,                  1.122,                 1.3409,             0.00055889,             0.00055889,             0.00055889
                     18,                 1.4022,                 1.2561,                 1.3988,                0.79443,                0.78923,                0.84788,                0.58396,                 1.1095,                0.95052,                 1.3363,             0.00055695,             0.00055695,             0.00055695
